Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,K♠,J♠,9♠,7♠,5♠,3♠,A♠,Q♦,10♦,8♦,6♦,4♦
2,Q♠,10♠,8♠,6♠,4♠,2♠,K♦,J♦,9♦,7♦,5♦,3♦
3,J♠,9♠,7♠,5♠,3♠,A♠,Q♦,10♦,8♦,6♦,4♦,2♦
4,10♠,8♠,6♠,4♠,2♠,K♦,J♦,9♦,7♦,5♦,3♦,A♦
5,9♠,7♠,5♠,3♠,A♠,Q♦,10♦,8♦,6♦,4♦,2♦,K♣
6,8♠,6♠,4♠,2♠,K♦,J♦,9♦,7♦,5♦,3♦,A♦,Q♣
7,7♠,5♠,3♠,A♠,Q♦,10♦,8♦,6♦,4♦,2♦,K♣,J♣
8,6♠,4♠,2♠,K♦,J♦,9♦,7♦,5♦,3♦,A♦,Q♣,10♣
9,5♠,3♠,A♠,Q♦,10♦,8♦,6♦,4♦,2♦,K♣,J♣,9♣
10,4♠,2♠,K♦,J♦,9♦,7♦,5♦,3♦,A♦,Q♣,10♣,8♣
11,3♠,A♠,Q♦,10♦,8♦,6♦,4♦,2♦,K♣,J♣,9♣,7♣
12,2♠,K♦,J♦,9♦,7♦,5♦,3♦,A♦,Q♣,10♣,8♣,6♣
13,A♠,Q♦,10♦,8♦,6♦,4♦,2♦,K♣,J♣,9♣,7♣,5♣
14,K♠,J♦,9♦,7♦,5♦,3♦,A♦,Q♣,10♣,8♣,6♣,4♣
15,Q♦,10♦,8♦,6♦,4♦,2♦,K♣,J♣,9♣,7♣,5♣,3♣
16,J♦,9♦,7♦,5♦,3♦,A♦,Q♣,10♣,8♣,6♣,4♣,2♣
17,10♦,8♦,6♦,4♦,2♦,K♣,J♣,9♣,7♣,5♣,3♣,A♣
18,9♦,7♦,5♦,3♦,A♦,Q♣,10♣,8♣,6♣,4♣,2♣,K♥
19,8♦,6♦,4♦,2♦,K♣,J♣,9♣,7♣,5♣,3♣,A♣,Q♥
20,7♦,5♦,3♦,A♦,Q♣,10♣,8♣,6♣,4♣,2♣,K♥,J♥
21,6♦,4♦,2♦,K♣,J♣,9♣,7♣,5♣,3♣,A♣,Q♥,10♥
22,5♦,3♦,A♦,Q♣,10♣,8♣,6♣,4♣,2♣,K♥,J♥,9♥
23,4♦,2♦,K♣,J♣,9♣,7♣,5♣,3♣,A♣,Q♥,10♥,8♥
24,3♦,A♦,Q♣,10♣,8♣,6♣,4♣,2♣,K♥,J♥,9♥,7♥
25,2♦,K♣,J♣,9♣,7♣,5♣,3♣,A♣,Q♥,10♥,8♥,6♥
26,A♦,Q♣,10♣,8♣,6♣,4♣,2♣,K♥,J♥,9♥,7♥,5♥
27,K♣,J♣,9♣,7♣,5♣,3♣,A♣,Q♥,10♥,8♥,6♥,4♥
28,Q♣,10♣,8♣,6♣,4♣,2♣,K♥,J♥,9♥,7♥,5♥,3♥
29,J♣,9♣,7♣,5♣,3♣,A♣,Q♥,10♥,8♥,6♥,4♥,2♥
30,10♣,8♣,6♣,4♣,2♣,K♥,J♥,9♥,7♥,5♥,3♥,A♥
31,9♣,7♣,5♣,3♣,A♣,Q♥,10♥,8♥,6♥,4♥,2♥,Joker
