Card,Row Planet,Column Planet
King of Spades,Sun,Saturn
8 of Diamonds,Sun,Jupiter
10 of Clubs,Sun,Mars
Ace of Spades,Mercury,Neptune
3 of Diamonds,Mercury,Uranus
5 of Clubs,Mercury,Saturn
10 of Spades,Mercury,Jupiter
Queen of Clubs,Mercury,Mars
Ace of Clubs,Mercury,Venus
3 of Hearts,Mercury,Mercury
2 of Hearts,Venus,Neptune
9 of Spades,Venus,Uranus
9 of Clubs,Venus,Saturn
Jack of Hearts,Venus,Jupiter
5 of Spades,Venus,Mars
7 of Diamonds,Venus,Venus
7 of Hearts,Venus,Mercury
8 of Clubs,Mars,Neptune
Jack of Spades,Mars,Uranus
2 of Diamonds,Mars,Saturn
4 of Clubs,Mars,Jupiter
6 of Hearts,Mars,Mars
King of Diamonds,Mars,Venus
King of Hearts,Mars,Mercury
Ace of Diamonds,Jupiter,Neptune
Ace of Hearts,Jupiter,Uranus
8 of Spades,Jupiter,Saturn
10 of Diamonds,Jupiter,Jupiter
10 of Hearts,Jupiter,Mars
4 of Spades,Jupiter,Venus
6 of Diamonds,Jupiter,Mercury
5 of Diamonds,Saturn,Neptune
7 of Clubs,Saturn,Uranus
9 of Hearts,Saturn,Saturn
3 of Spades,Saturn,Jupiter
3 of Clubs,Saturn,Mars
5 of Hearts,Saturn,Venus
Queen of Diamonds,Saturn,Mercury
Jack of Diamonds,Uranus,Neptune
King of Clubs,Uranus,Uranus
2 of Clubs,Uranus,Saturn
7 of Spades,Uranus,Jupiter
9 of Diamonds,Uranus,Mars
Jack of Clubs,Uranus,Venus
Queen of Spades,Uranus,Mercury
Queen of Hearts,Neptune,Neptune
6 of Spades,Neptune,Uranus
6 of Clubs,Neptune,Saturn
8 of Hearts,Neptune,Jupiter
2 of Spades,Neptune,Mars
4 of Diamonds,Neptune,Venus
4 of Hearts,Neptune,Mercury
