Planetary Position,Row Planet,Column Planet,Cards
Saturn,Crown,Saturn,King of Spades
Jupiter,Crown,Jupiter,8 of Diamonds
Mars,Crown,Mars,10 of Clubs
Mercury / Neptune,Mercury,Neptune,Ace of Spades
Mercury / Uranus,Mercury,Uranus,3 of Diamonds
Mercury / Saturn,Mercury,Saturn,5 of Clubs
Mercury / Jupiter,Mercury,Jupiter,10 of Spades
Mercury / Mars,Mercury,Mars,Queen of Clubs
Mercury / Venus,Mercury,Venus,Ace of Clubs
Mercury / Mercury,Mercury,Mercury,3 of Hearts
Venus / Neptune,Venus,Neptune,2 of Hearts
Venus / Uranus,Venus,Uranus,9 of Spades
Venus / Saturn,Venus,Saturn,9 of Clubs
Venus / Jupiter,Venus,Jupiter,Jack of Hearts
Venus / Mars,Venus,Mars,5 of Spades
Venus / Venus,Venus,Venus,7 of Diamonds
Venus / Mercury,Venus,Mercury,7 of Hearts
Mars / Neptune,Mars,Neptune,8 of Clubs
Mars / Uranus,Mars,Uranus,Jack of Spades
Mars / Saturn,Mars,Saturn,2 of Diamonds
Mars / Jupiter,Mars,Jupiter,4 of Clubs
Mars / Mars,Mars,Mars,6 of Hearts
Mars / Venus,Mars,Venus,King of Diamonds
Mars / Mercury,Mars,Mercury,King of Hearts
Jupiter / Neptune,Jupiter,Neptune,Ace of Diamonds
Jupiter / Uranus,Jupiter,Uranus,Ace of Hearts
Jupiter / Saturn,Jupiter,Saturn,8 of Spades
Jupiter / Jupiter,Jupiter,Jupiter,10 of Diamonds
Jupiter / Mars,Jupiter,Mars,10 of Hearts
Jupiter / Venus,Jupiter,Venus,4 of Spades
Jupiter / Mercury,Jupiter,Mercury,6 of Diamonds
Saturn / Neptune,Saturn,Neptune,5 of Diamonds
Saturn / Uranus,Saturn,Uranus,7 of Clubs
Saturn / Saturn,Saturn,Saturn,9 of Hearts
Saturn / Jupiter,Saturn,Jupiter,3 of Spades
Saturn / Mars,Saturn,Mars,3 of Clubs
Saturn / Venus,Saturn,Venus,5 of Hearts
Saturn / Mercury,Saturn,Mercury,Queen of Diamonds
Uranus / Neptune,Uranus,Neptune,Jack of Diamonds
Uranus / Uranus,Uranus,Uranus,King of Clubs
Uranus / Saturn,Uranus,Saturn,2 of Clubs
Uranus / Jupiter,Uranus,Jupiter,7 of Spades
Uranus / Mars,Uranus,Mars,9 of Diamonds
Uranus / Venus,Uranus,Venus,Jack of Clubs
Uranus / Mercury,Uranus,Mercury,Queen of Spades
Neptune / Neptune,Neptune,Neptune,Queen of Hearts
Neptune / Uranus,Neptune,Uranus,6 of Spades
Neptune / Saturn,Neptune,Saturn,6 of Clubs
Neptune / Jupiter,Neptune,Jupiter,8 of Hearts
Neptune / Mars,Neptune,Mars,2 of Spades
Neptune / Venus,Neptune,Venus,4 of Diamonds
Neptune / Mercury,Neptune,Mercury,4 of Hearts
