Card,MM-DD,Normalized Date,System,Source,Confidence,Notes
10 of Clubs,01-30,2000-01-30,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
10 of Diamonds,07-31,2000-07-31,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
10 of Hearts,01-17,2000-01-17,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
10 of Spades,01-04,2000-01-04,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
2 of Clubs,05-30,2000-05-30,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
2 of Diamonds,08-11,2000-08-11,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
2 of Hearts,01-25,2000-01-25,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
2 of Spades,01-12,2000-01-12,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
3 of Clubs,05-29,2000-05-29,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
3 of Diamonds,08-10,2000-08-10,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
3 of Hearts,01-24,2000-01-24,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
3 of Spades,01-11,2000-01-11,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).
